Attendance_Percentage,Quiz_Average,Marks,Assignment_Average,Weekly_Study_Hours,Average_Session_Duration,Engagement_Score,Sessions_Per_Week,Performance
80.8,59.35166666666667,78.66666666666667,71.4,12.5,119,59.5,9,Average
76.7,81.32000000000001,76.66666666666667,39.0,31.8,145,100.0,5,Average
78.4,64.11833333333333,35.333333333333336,46.2,10.5,32,53.5,14,At Risk
76.4,79.54666666666667,61.0,55.8,17.7,39,63.1,8,Average
80.3,74.89833333333333,90.66666666666669,48.8,20.5,42,91.5,10,High Performer
67.6,76.03666666666668,60.66666666666666,43.8,16.2,132,82.6,7,Average
81.9,63.26333333333333,75.66666666666667,52.6,32.3,80,100.0,12,Average
72.2,67.205,63.0,48.4,30.2,123,100.0,11,Average
65.6,59.76,38.333333333333336,39.0,23.1,21,97.3,8,At Risk
78.9,54.58833333333333,25.666666666666668,51.4,28.2,28,100.0,6,At Risk
76.5,59.84166666666667,69.66666666666667,59.8,15.7,54,69.1,3,Average
76.7,58.778333333333336,54.333333333333336,54.0,29.6,47,100.0,8,Average
75.9,48.85333333333333,57.66666666666666,42.6,9.5,165,62.5,2,Average
76.1,51.34666666666666,45.0,46.6,31.8,136,100.0,3,At Risk
84.1,58.66,54.66666666666666,51.0,26.2,47,100.0,12,Average
72.0,84.83666666666666,64.0,60.0,17.9,110,65.69999999999999,11,Average
79.0,59.90166666666666,50.333333333333336,35.6,5.2,139,51.6,6,Average
75.1,70.17166666666667,84.0,47.4,17.7,43,67.1,4,High Performer
71.4,68.05166666666666,56.333333333333336,45.8,13.6,86,76.8,11,Average
75.5,60.34166666666667,48.0,44.0,19.4,44,90.2,9,At Risk
83.7,69.63833333333334,66.66666666666667,38.2,10.5,104,43.5,6,Average
68.1,70.44833333333334,38.0,65.4,25.8,172,100.0,12,At Risk
79.6,63.653333333333336,64.66666666666667,63.2,30.2,30,100.0,10,Average
63.3,60.41333333333333,76.0,36.2,32.8,27,100.0,2,Average
67.9,50.12166666666667,71.0,40.2,21.9,180,100.0,14,Average
72.1,60.58166666666667,74.0,36.8,16.3,179,100.0,3,Average
76.6,54.805,63.333333333333336,47.6,22.6,70,89.80000000000001,13,Average
78.2,42.806666666666665,86.33333333333333,41.0,15.9,111,57.7,10,High Performer
69.3,69.03500000000001,48.333333333333336,34.6,14.3,168,84.9,4,At Risk
77.3,61.84666666666667,43.333333333333336,53.6,30.0,119,100.0,10,At Risk
63.0,46.97833333333333,82.0,59.0,14.4,119,57.2,6,High Performer
76.3,83.61333333333333,83.33333333333333,52.4,6.0,166,68.0,4,High Performer
77.3,72.00166666666667,55.0,26.8,11.0,163,73.0,8,Average
74.4,65.83166666666666,60.333333333333336,46.4,24.9,70,100.0,11,Average
73.4,62.075,62.66666666666666,34.0,30.3,67,100.0,12,Average
77.1,54.85,62.66666666666666,43.4,17.7,33,89.1,10,Average
70.7,68.57000000000001,52.333333333333336,42.6,19.4,180,100.0,3,Average
68.6,53.67,58.0,51.8,30.4,152,100.0,6,Average
75.2,67.58833333333332,60.0,33.0,13.6,80,62.8,7,Average
65.1,60.97,58.66666666666666,39.8,9.0,65,43.0,3,Average
70.1,47.90833333333333,74.0,44.4,23.2,158,89.6,5,Average
77.2,62.50833333333333,52.0,25.2,23.0,107,95.0,7,Average
72.8,43.42333333333334,42.66666666666666,45.6,16.1,30,96.3,3,At Risk
69.4,75.45833333333333,55.66666666666666,51.2,9.2,170,85.6,8,Average
75.2,49.01833333333334,69.66666666666667,43.2,23.1,107,89.30000000000001,7,Average
76.9,57.373333333333335,52.66666666666666,40.4,27.1,20,100.0,5,Average
81.9,60.97666666666667,35.333333333333336,46.2,28.4,156,100.0,6,At Risk
66.2,61.275,53.333333333333336,33.8,30.2,51,100.0,5,Average
87.7,47.97166666666666,59.0,28.0,26.1,179,100.0,12,Average
69.0,57.34333333333333,89.66666666666667,39.6,9.6,81,50.8,12,High Performer
77.3,72.86,45.0,35.0,13.0,155,81.0,3,At Risk
75.2,66.07000000000001,52.0,59.4,23.6,173,100.0,3,Average
70.4,62.97166666666667,60.333333333333336,34.4,15.2,49,71.6,5,Average
73.2,92.21,64.66666666666667,46.6,12.0,80,84.0,14,Average
72.1,49.1,52.0,43.2,15.9,102,65.7,6,Average
66.7,48.76166666666666,77.0,45.8,16.3,162,64.9,13,Average
77.7,59.67166666666666,72.66666666666667,51.4,29.5,50,100.0,2,Average
82.9,70.96499999999999,68.0,51.4,34.3,97,100.0,8,Average
76.3,56.97333333333333,40.66666666666666,39.8,20.8,97,84.4,5,At Risk
79.2,60.93833333333333,51.333333333333336,19.0,12.6,155,59.8,11,Average
80.2,62.94,52.333333333333336,67.4,17.4,168,70.19999999999999,6,Average
73.8,56.67666666666667,76.66666666666667,35.0,21.7,41,89.1,10,Average
74.1,43.085,62.333333333333336,50.2,9.5,118,80.5,3,Average
79.9,71.85000000000001,55.0,61.4,5.1,74,51.3,11,Average
80.0,49.03333333333333,56.66666666666666,37.0,30.5,72,100.0,12,Average
80.1,70.30833333333334,46.333333333333336,61.2,28.2,39,100.0,4,At Risk
68.2,50.02333333333333,72.66666666666667,26.2,12.7,158,52.1,9,Average
72.9,56.36666666666667,67.0,36.6,20.7,46,84.1,5,Average
67.1,69.5,71.66666666666667,56.0,20.0,170,90.0,6,Average
77.7,60.57,72.0,54.4,12.3,74,56.900000000000006,11,Average
81.5,47.44,49.333333333333336,35.6,10.1,142,68.3,4,At Risk
80.4,60.74333333333333,72.33333333333333,49.4,19.5,96,100.0,13,Average
76.7,65.26666666666667,58.0,47.4,23.0,141,100.0,6,Average
76.3,50.98166666666666,62.333333333333336,29.8,29.5,139,100.0,5,Average
70.8,48.22,58.0,38.4,11.5,33,80.5,12,Average
78.2,58.335,44.0,29.4,28.8,89,100.0,10,At Risk
73.2,83.28833333333334,71.66666666666667,45.2,25.6,26,100.0,8,Average
67.9,73.44833333333334,65.33333333333333,45.8,12.4,66,63.2,12,Average
71.7,70.69833333333334,49.66666666666666,32.2,26.5,79,100.0,14,At Risk
69.9,51.965,63.333333333333336,52.6,32.0,48,100.0,6,Average
71.4,52.41833333333333,63.333333333333336,67.6,11.0,131,71.0,2,Average
76.9,69.36666666666666,35.0,55.2,8.0,36,66.0,11,At Risk
77.1,53.80166666666667,53.333333333333336,29.0,13.2,114,93.6,3,Average
74.7,58.60166666666667,43.333333333333336,59.4,12.3,101,64.9,5,At Risk
72.7,82.20833333333333,70.66666666666667,43.0,25.9,95,93.7,11,Average
78.7,47.42,52.333333333333336,82.6,8.4,87,75.2,3,Average
71.4,57.40333333333333,60.66666666666666,36.4,8.8,29,38.400000000000006,3,Average
71.1,65.00166666666667,31.33333333333333,52.2,22.7,72,100.0,2,At Risk
66.7,71.01666666666667,67.33333333333333,48.0,27.0,61,100.0,14,Average
78.8,38.41666666666666,41.66666666666666,53.4,31.3,109,100.0,12,At Risk
77.0,53.998333333333335,49.0,36.6,31.9,73,100.0,2,At Risk
85.2,57.91833333333333,69.33333333333333,46.6,26.2,67,100.0,14,Average
65.8,60.555,74.66666666666667,47.8,12.9,80,56.7,5,Average
72.7,50.31166666666667,74.33333333333333,34.0,10.7,172,82.1,11,Average
75.2,47.711666666666666,38.0,51.0,16.1,179,100.0,4,At Risk
78.1,47.205000000000005,63.66666666666666,44.4,33.5,92,100.0,8,Average
72.8,52.63166666666666,56.66666666666666,38.6,33.1,81,100.0,10,Average
79.7,57.25333333333333,45.0,32.4,18.7,165,84.1,8,At Risk
78.7,59.44833333333333,36.66666666666666,66.8,10.4,38,79.2,11,At Risk
70.5,72.885,78.33333333333333,28.8,17.0,48,61.0,10,Average
83.0,60.57,34.666666666666664,44.6,32.8,123,100.0,13,At Risk
78.9,46.48833333333334,58.333333333333336,55.0,8.5,87,77.5,9,Average
72.2,68.69,82.33333333333333,51.4,23.4,79,100.0,8,High Performer
81.7,58.086666666666666,50.66666666666666,61.6,23.3,129,100.0,14,Average
76.0,58.00833333333333,54.333333333333336,35.0,31.2,129,100.0,10,Average
68.3,66.15666666666667,69.0,26.0,9.0,138,47.0,3,Average
69.7,56.156666666666666,70.66666666666667,44.4,32.7,72,100.0,12,Average
70.2,74.11666666666666,42.333333333333336,33.4,15.3,78,59.900000000000006,2,At Risk
66.9,63.96,42.333333333333336,35.2,30.8,92,100.0,8,At Risk
84.6,72.37833333333333,59.0,69.6,5.4,66,34.2,9,Average
75.3,50.44,75.66666666666667,58.0,8.6,82,61.8,3,Average
77.7,73.32000000000001,56.66666666666666,45.8,9.5,178,86.5,4,Average
72.5,80.07666666666667,43.66666666666666,66.2,22.7,106,78.1,3,At Risk
77.8,62.44166666666666,49.333333333333336,42.4,26.9,86,100.0,8,At Risk
74.5,52.13333333333333,75.0,48.2,18.5,94,97.5,5,Average
76.6,51.61833333333334,64.33333333333333,61.8,25.0,113,100.0,3,Average
74.4,65.10333333333334,40.66666666666666,38.4,34.1,136,100.0,3,At Risk
75.8,60.12,71.33333333333333,24.0,18.6,122,100.0,11,Average
69.9,60.17666666666667,72.66666666666667,18.8,21.1,178,81.30000000000001,4,Average
71.3,70.61,64.0,23.2,21.4,47,100.0,8,Average
77.0,50.751666666666665,50.333333333333336,54.2,9.9,61,75.7,2,Average
73.1,61.06,64.0,40.0,10.1,50,44.3,11,Average
79.9,67.40833333333333,41.66666666666666,40.8,17.4,100,100.0,5,At Risk
74.4,53.52333333333333,62.0,45.4,34.5,29,100.0,8,Average
78.7,63.30166666666667,69.66666666666667,37.8,33.8,68,100.0,7,Average
74.1,75.42833333333333,55.0,68.6,29.0,23,100.0,6,Average
83.5,40.53833333333333,42.66666666666666,25.4,30.8,107,100.0,8,At Risk
74.2,69.83833333333332,80.0,45.6,22.2,76,100.0,13,High Performer
77.8,39.931666666666665,65.66666666666667,49.0,9.5,114,60.5,3,Average
70.9,68.2,66.66666666666667,29.6,29.0,122,100.0,5,Average
76.3,74.43833333333333,45.0,27.4,11.2,147,49.6,8,At Risk
75.2,51.79333333333333,48.0,41.2,34.2,94,100.0,5,At Risk
71.3,43.35,51.333333333333336,55.8,23.9,103,100.0,3,Average
75.6,49.27,86.66666666666667,35.0,14.2,142,92.6,2,High Performer
78.6,54.74333333333334,76.33333333333333,26.2,31.0,77,100.0,6,Average
80.1,62.1,66.0,32.8,22.9,46,88.69999999999999,14,Average
70.3,74.545,53.66666666666666,33.6,21.3,177,75.9,7,Average
70.4,58.903333333333336,59.66666666666666,32.4,11.0,171,77.0,7,Average
77.7,72.50333333333333,57.66666666666666,42.2,30.0,163,100.0,6,Average
81.0,70.32833333333333,62.66666666666666,46.8,21.9,68,100.0,6,Average
73.7,70.61833333333333,51.0,21.6,31.9,93,100.0,2,Average
76.2,53.465,75.66666666666667,64.2,14.4,86,63.2,7,Average
73.6,59.37166666666667,57.333333333333336,35.2,21.7,109,83.1,10,Average
82.0,59.81333333333333,58.333333333333336,35.0,6.0,149,48.0,9,Average
83.0,63.431666666666665,43.66666666666666,32.2,10.5,121,47.5,9,At Risk
75.1,65.05833333333334,69.33333333333333,42.4,23.3,101,100.0,8,Average
74.8,73.40166666666666,51.66666666666666,45.6,16.3,110,86.9,2,Average
72.0,58.946666666666665,58.0,65.2,20.9,122,100.0,8,Average
66.7,57.53666666666667,61.333333333333336,42.0,8.1,116,56.3,14,Average
79.7,66.96833333333333,62.333333333333336,54.8,13.6,30,52.8,2,Average
70.2,60.24166666666667,36.0,30.0,32.9,162,100.0,5,At Risk
73.6,68.2,29.666666666666668,37.0,15.7,31,83.1,2,At Risk
71.7,41.89833333333333,78.66666666666667,38.2,6.7,92,80.1,5,Average
71.5,58.93333333333334,59.0,38.2,18.7,44,80.1,6,Average
70.0,68.545,66.33333333333333,70.8,26.4,85,95.2,8,Average
80.1,73.32833333333333,56.0,25.8,33.9,61,100.0,3,Average
77.0,53.44333333333333,60.333333333333336,19.0,33.1,152,100.0,10,Average
74.1,62.281666666666666,50.333333333333336,55.8,6.8,62,36.4,11,Average
75.6,59.79166666666666,56.66666666666666,64.2,25.0,148,100.0,4,Average
78.3,55.580000000000005,63.66666666666666,53.2,13.0,70,73.0,4,Average
75.4,69.72166666666666,80.0,54.4,26.7,31,92.1,9,High Performer
81.6,52.85,69.66666666666667,52.6,22.1,175,80.30000000000001,8,Average
77.6,70.495,64.0,30.6,34.8,178,100.0,9,Average
72.3,62.406666666666666,79.0,28.8,21.7,56,75.1,13,Average
75.5,73.365,71.66666666666667,48.2,5.0,120,49.0,13,Average
80.4,56.715,46.66666666666666,47.4,17.9,159,83.69999999999999,12,At Risk
71.3,78.61833333333333,73.66666666666667,28.2,5.9,150,27.700000000000003,12,Average
75.9,60.04833333333334,91.66666666666669,34.2,19.4,106,100.0,4,High Performer
70.8,64.42166666666667,74.0,46.4,11.1,22,65.3,7,Average
73.6,60.156666666666666,47.0,46.8,29.8,92,100.0,14,At Risk
80.9,68.55333333333333,72.0,49.4,10.6,139,57.8,4,Average
84.9,79.02,39.66666666666666,38.6,32.1,57,100.0,11,At Risk
77.9,64.72833333333334,73.33333333333333,74.8,28.9,75,100.0,13,Average
75.2,49.18333333333334,70.33333333333333,34.4,20.6,96,100.0,9,Average
63.6,51.48166666666666,61.0,45.0,19.1,50,69.30000000000001,5,Average
70.3,61.56666666666666,45.0,58.6,31.2,23,100.0,5,At Risk
79.1,47.23666666666666,66.0,39.8,14.4,161,81.2,3,Average
79.6,72.94,45.0,50.2,22.2,81,88.6,14,At Risk
73.2,51.63,81.0,46.2,13.7,137,69.1,12,High Performer
75.5,54.955000000000005,82.0,26.6,18.5,60,89.5,8,High Performer
75.5,57.58833333333333,77.66666666666667,49.2,7.0,123,31.0,11,Average
75.3,65.11666666666666,55.333333333333336,67.8,30.5,113,100.0,6,Average
84.2,50.028333333333336,62.0,46.4,21.5,105,74.5,4,Average
76.2,42.96666666666667,78.33333333333333,31.2,10.7,25,68.1,12,Average
72.6,39.95166666666666,58.333333333333336,36.2,7.3,101,37.9,14,Average
70.4,57.068333333333335,67.0,52.0,28.4,163,100.0,14,Average
76.4,51.55,44.333333333333336,60.6,19.8,147,73.4,2,At Risk
69.9,66.12666666666667,32.666666666666664,41.2,9.6,51,88.8,8,At Risk
83.0,61.585,72.33333333333333,17.4,23.6,33,86.80000000000001,5,Average
79.3,68.40666666666667,46.0,38.0,16.5,57,99.5,11,At Risk
74.9,47.34666666666666,88.0,25.4,15.0,51,97.0,4,High Performer
77.9,54.69833333333333,44.333333333333336,45.0,15.3,61,79.9,2,At Risk
68.7,63.38833333333333,67.66666666666667,69.8,12.2,127,60.6,12,Average
76.7,61.806666666666665,56.333333333333336,25.6,14.8,60,92.4,9,Average
74.5,46.083333333333336,62.0,43.2,32.6,75,100.0,13,Average
69.7,66.08,53.66666666666666,55.4,28.2,150,100.0,2,Average
65.1,47.63666666666666,42.0,30.2,10.0,30,82.0,7,At Risk
74.3,61.155,65.66666666666667,62.8,26.8,166,100.0,14,Average
71.9,61.99333333333334,65.66666666666667,48.2,33.9,74,100.0,4,Average
74.7,84.93666666666667,71.66666666666667,62.4,5.7,130,43.1,5,Average
73.8,46.16333333333333,53.0,40.4,8.8,26,74.4,14,Average
71.1,58.5,46.333333333333336,38.6,23.7,33,87.1,7,At Risk
78.9,65.06833333333334,73.66666666666667,52.6,32.0,175,100.0,10,Average
70.7,58.325,77.0,53.0,24.6,131,91.8,6,Average
70.5,56.12833333333333,79.33333333333333,34.8,19.7,144,99.1,2,Average
69.8,67.005,70.33333333333333,30.4,29.5,88,100.0,13,Average
74.4,75.75666666666666,49.66666666666666,58.6,19.8,149,100.0,12,At Risk
78.0,69.42,52.0,34.2,10.5,173,75.5,11,Average
73.8,59.88666666666666,46.333333333333336,76.6,25.9,63,87.69999999999999,7,At Risk
75.0,68.20166666666667,63.66666666666666,40.2,30.0,29,100.0,11,Average
74.3,59.57333333333333,48.66666666666666,40.2,28.6,117,100.0,2,At Risk
70.9,60.82333333333333,63.333333333333336,31.4,9.6,72,82.8,12,Average
77.2,65.26166666666667,70.33333333333333,41.0,23.7,61,95.1,4,Average
82.2,51.370000000000005,39.0,52.4,11.5,171,56.5,14,At Risk
78.9,55.72,83.33333333333333,52.2,19.7,85,100.0,8,High Performer
75.7,62.115,49.0,38.4,13.1,98,77.3,2,At Risk
78.8,66.80166666666666,69.0,59.2,22.2,70,86.6,2,Average
72.5,73.595,63.66666666666666,47.2,30.5,120,100.0,4,Average
81.7,65.70833333333333,61.0,28.4,9.5,137,46.5,8,Average
79.7,42.02666666666666,34.666666666666664,56.0,19.3,128,75.9,3,At Risk
68.6,64.08333333333333,54.333333333333336,31.4,34.9,94,100.0,4,Average
73.3,73.69333333333334,62.333333333333336,51.0,34.9,134,100.0,2,Average
73.7,59.00333333333333,75.0,33.4,30.9,169,100.0,11,Average
68.3,60.586666666666666,83.33333333333333,55.8,16.1,162,84.30000000000001,9,High Performer
65.5,61.36166666666667,85.66666666666667,64.4,6.2,54,74.6,11,High Performer
80.2,66.49,57.0,46.8,17.5,27,64.5,10,Average
70.9,63.38166666666666,91.33333333333331,41.2,31.3,82,100.0,11,High Performer
78.2,72.03500000000001,59.333333333333336,48.2,24.1,54,94.3,8,Average
86.6,70.87666666666667,81.0,44.2,28.1,67,100.0,3,High Performer
74.8,61.295,82.66666666666667,43.6,30.0,51,100.0,10,High Performer
73.8,62.76500000000001,80.0,30.4,11.3,66,67.9,3,High Performer
71.7,75.66166666666668,58.333333333333336,22.8,23.5,133,100.0,2,Average
76.1,72.3,78.0,35.0,25.8,170,95.4,14,Average
73.5,60.76166666666666,41.333333333333336,54.8,30.1,53,100.0,5,At Risk
72.1,54.54333333333333,92.66666666666669,43.0,6.4,113,77.2,10,High Performer
77.8,59.42333333333334,71.0,40.2,24.3,68,100.0,2,Average
76.2,65.14166666666667,74.0,51.0,17.2,96,75.6,3,Average
72.2,57.23500000000001,45.66666666666666,60.4,10.5,23,55.5,12,At Risk
72.3,50.315,52.0,70.6,6.5,45,33.5,3,Average
81.0,42.55166666666667,67.0,30.6,32.0,138,100.0,10,Average
70.1,64.64,52.333333333333336,40.6,16.2,173,100.0,6,Average
76.1,77.55666666666667,74.33333333333333,29.4,28.2,67,100.0,14,Average
79.4,69.36666666666666,59.66666666666666,30.4,26.9,63,100.0,14,Average
72.6,58.855,33.666666666666664,47.4,29.9,42,100.0,13,At Risk
77.5,55.79333333333333,53.333333333333336,45.2,13.3,133,87.9,13,Average
69.9,59.50666666666666,58.333333333333336,20.8,9.9,103,39.7,10,Average
71.1,59.87833333333333,39.66666666666666,56.0,5.1,180,31.3,9,At Risk
74.5,58.21,67.0,31.8,30.5,30,100.0,8,Average
76.7,49.595,46.66666666666666,43.6,15.6,166,68.8,2,At Risk
69.4,52.35,41.66666666666666,48.0,25.6,124,100.0,11,At Risk
79.3,74.32833333333333,62.333333333333336,48.0,8.3,45,36.900000000000006,5,Average
73.6,39.248333333333335,56.66666666666666,64.6,14.6,61,81.8,8,Average
79.7,70.11,57.333333333333336,49.4,30.7,129,100.0,8,Average
75.2,58.321666666666665,51.0,30.8,33.4,60,100.0,7,Average
73.4,65.79666666666667,67.0,44.6,18.9,110,100.0,11,Average
76.7,59.58166666666667,67.33333333333333,63.0,17.2,74,100.0,4,Average
75.0,68.74333333333333,89.0,66.8,20.2,88,74.6,10,High Performer
74.4,44.17666666666667,78.33333333333333,34.0,10.4,131,81.2,11,Average
67.9,68.62833333333333,88.33333333333333,37.4,29.1,108,100.0,7,High Performer
66.9,43.72,50.0,36.6,15.3,143,79.9,11,Average
84.3,62.178333333333335,44.66666666666666,43.4,20.4,76,85.19999999999999,10,At Risk
76.9,38.91,68.66666666666667,34.0,21.8,135,100.0,5,Average
73.1,63.83166666666667,55.333333333333336,27.0,9.7,113,63.1,11,Average
80.6,52.09,69.0,42.8,26.6,97,100.0,3,Average
71.6,56.24333333333334,48.0,53.4,31.9,139,100.0,8,At Risk
77.9,75.75166666666667,65.66666666666667,39.6,9.7,170,77.1,8,Average
72.0,60.72,70.0,40.2,9.8,64,39.400000000000006,2,Average
72.2,60.81666666666666,92.33333333333331,14.2,9.8,23,39.400000000000006,3,High Performer
77.9,70.745,82.33333333333333,50.8,10.1,101,86.3,3,High Performer
72.9,47.92333333333334,53.333333333333336,25.0,14.4,147,93.2,8,Average
73.3,44.61000000000001,66.33333333333333,56.6,30.2,42,100.0,6,Average
75.3,51.97333333333333,63.0,54.8,18.9,173,74.69999999999999,7,Average
72.9,69.44500000000001,39.333333333333336,35.0,10.0,96,66.0,12,At Risk
74.6,49.0,52.333333333333336,41.8,16.6,122,73.80000000000001,2,Average
77.2,51.29333333333333,41.333333333333336,26.2,5.4,107,40.2,7,At Risk
73.7,51.09833333333333,67.0,39.8,27.9,28,100.0,2,Average
75.2,77.92833333333333,71.0,54.8,25.5,177,100.0,14,Average
78.7,58.74,85.33333333333333,35.2,20.3,172,100.0,7,High Performer
76.7,80.97833333333334,67.33333333333333,43.8,18.9,142,92.7,7,Average
73.2,51.708333333333336,68.66666666666667,47.8,33.3,90,100.0,4,Average
73.8,48.76166666666666,68.66666666666667,36.6,33.0,31,100.0,4,Average
79.3,59.06,55.66666666666666,74.4,28.9,20,100.0,9,Average
76.3,69.52,62.66666666666666,33.0,6.9,159,48.7,6,Average
71.3,61.048333333333325,30.0,40.6,31.7,91,100.0,4,At Risk
73.0,69.60833333333333,76.33333333333333,46.4,29.0,141,99.0,6,Average
68.7,63.25,75.0,47.2,17.0,88,63.0,2,Average
78.9,72.12833333333333,40.66666666666666,40.4,15.8,45,63.400000000000006,6,At Risk
67.4,57.93666666666667,65.0,62.0,31.2,113,100.0,4,Average
80.7,52.89666666666667,77.0,58.2,31.1,125,100.0,4,Average
80.2,64.80499999999999,54.0,40.0,19.5,177,74.5,3,Average
72.6,58.32833333333334,70.33333333333333,61.6,14.6,113,81.8,8,Average
76.1,59.06166666666667,68.0,54.4,6.7,29,32.1,3,Average
77.8,68.08666666666666,74.0,41.6,28.7,166,100.0,14,Average
75.8,66.99833333333333,50.333333333333336,47.8,8.4,107,51.2,6,Average
80.7,59.02666666666666,64.0,43.2,15.6,42,98.8,9,Average
79.6,64.10000000000001,51.0,29.8,23.0,42,85.0,6,Average
71.3,79.76833333333333,50.333333333333336,41.4,28.5,41,100.0,3,Average
72.2,49.24666666666667,60.0,49.2,25.9,130,100.0,5,Average
83.6,56.35666666666666,45.333333333333336,54.2,24.8,22,86.4,12,At Risk
71.6,54.365,47.0,30.4,6.9,136,52.7,12,At Risk
76.4,59.38166666666667,38.0,47.0,11.9,42,59.7,3,At Risk
75.2,74.67333333333333,52.66666666666666,75.0,13.3,145,51.900000000000006,9,Average
80.9,62.083333333333336,68.66666666666667,41.2,28.9,60,100.0,2,Average
69.8,50.22166666666666,43.66666666666666,64.0,6.5,122,67.5,7,At Risk
78.3,58.03666666666667,63.66666666666666,31.0,29.8,150,100.0,2,Average
76.2,68.7,60.0,35.4,8.4,56,75.2,2,Average
74.7,54.715,62.0,59.2,30.3,81,100.0,3,Average
83.8,70.575,83.0,59.6,5.4,127,42.2,14,High Performer
76.0,47.48499999999999,85.0,25.8,11.9,42,93.7,12,High Performer
71.5,57.38333333333333,48.66666666666666,42.4,14.9,120,88.7,4,At Risk
68.7,76.115,33.666666666666664,51.2,19.3,81,75.9,12,At Risk
70.1,53.37,53.66666666666666,45.6,16.5,150,97.5,6,Average
72.3,48.99,59.66666666666666,46.4,23.2,128,100.0,14,Average
75.2,52.30666666666667,45.66666666666666,25.4,22.0,88,100.0,12,At Risk
73.9,52.28333333333333,89.33333333333333,39.6,28.6,22,100.0,5,High Performer
78.9,55.83833333333333,62.0,48.6,25.3,121,100.0,11,Average
79.4,56.83166666666667,50.66666666666666,54.0,14.7,151,92.1,12,Average
78.4,68.12666666666667,67.66666666666667,54.0,33.6,117,100.0,10,Average
80.4,51.09,55.333333333333336,57.0,32.9,180,100.0,5,Average
77.8,84.19166666666666,65.0,63.4,29.6,155,100.0,8,Average
76.5,79.12833333333333,63.333333333333336,40.6,13.1,125,61.3,11,Average
66.0,50.755,63.0,66.2,8.8,43,80.4,5,Average
71.0,55.93333333333334,35.0,38.2,32.0,59,100.0,6,At Risk
80.3,64.97833333333334,42.66666666666666,27.4,20.9,88,100.0,10,At Risk
79.6,47.975,77.33333333333333,53.2,26.0,148,94.0,11,Average
74.5,55.95,52.66666666666666,54.8,22.3,34,100.0,14,Average
73.1,43.11166666666667,63.66666666666666,37.0,23.3,60,100.0,5,Average
75.9,57.61333333333334,70.66666666666667,74.4,34.4,123,100.0,5,Average
71.5,68.15833333333333,75.33333333333333,71.0,14.6,100,65.8,11,Average
67.9,67.09666666666666,58.333333333333336,23.2,18.3,70,78.9,11,Average
69.3,73.85166666666667,71.66666666666667,51.2,28.7,159,100.0,12,Average
74.3,65.45,49.66666666666666,76.8,34.1,143,100.0,9,At Risk
72.5,59.46,65.0,25.0,33.4,21,100.0,10,Average
84.1,54.458333333333336,68.0,35.6,20.7,36,74.1,11,Average
71.0,57.68333333333334,53.0,29.4,18.7,73,100.0,8,Average
77.5,60.10333333333333,50.0,62.4,12.3,161,66.9,7,Average
72.0,61.01166666666666,48.66666666666666,39.4,21.3,130,100.0,6,At Risk
79.3,56.31,64.33333333333333,49.0,15.9,56,89.7,6,Average
80.9,66.40333333333334,61.66666666666666,33.2,32.6,60,100.0,2,Average
79.6,53.120000000000005,47.66666666666666,41.2,10.6,68,63.8,12,At Risk
74.8,58.555,53.333333333333336,46.4,34.8,51,100.0,14,Average
70.3,62.34666666666666,52.66666666666666,30.4,14.0,138,86.0,8,Average
78.1,62.355,70.66666666666667,54.0,17.3,120,100.0,2,Average
74.7,67.68833333333333,42.333333333333336,40.4,5.5,102,62.5,5,At Risk
81.2,63.405,65.66666666666667,41.0,32.4,20,100.0,3,Average
72.6,72.89833333333333,60.0,39.0,20.8,97,94.4,10,Average
60.8,68.30833333333334,68.0,47.0,21.1,57,100.0,9,Average
72.1,81.01333333333334,67.66666666666667,26.2,7.0,93,41.0,7,Average
75.8,66.11333333333333,44.66666666666666,61.6,18.7,139,100.0,10,At Risk
69.8,50.24,46.333333333333336,44.4,30.9,164,100.0,10,At Risk
84.1,79.61666666666666,67.0,44.8,33.7,159,100.0,6,Average
74.0,50.035,68.33333333333333,57.0,21.9,59,99.7,5,Average
72.1,67.88333333333334,60.0,38.4,30.8,51,100.0,5,Average
79.2,63.84166666666667,55.0,36.0,27.5,75,92.5,12,Average
71.9,60.47,72.0,25.6,11.0,40,69.0,8,Average
71.2,61.25333333333333,67.0,33.6,8.2,146,72.6,11,Average
74.6,66.57833333333333,51.66666666666666,41.6,9.5,170,48.5,3,Average
75.8,61.696666666666665,24.0,22.8,15.8,44,100.0,7,At Risk
78.6,72.89833333333333,52.66666666666666,40.6,23.6,146,100.0,3,Average
77.5,68.79333333333334,64.33333333333333,30.8,25.1,78,100.0,3,Average
69.1,65.67333333333333,68.0,53.2,6.9,172,76.7,2,Average
76.7,81.19666666666667,69.0,64.4,5.3,71,27.9,3,Average
80.5,67.3,64.33333333333333,60.0,9.5,153,80.5,13,Average
73.1,68.75333333333333,60.333333333333336,32.0,19.7,132,97.1,13,Average
74.3,50.08833333333333,57.0,55.2,15.0,49,65.0,11,Average
78.4,67.345,75.0,51.0,25.0,136,100.0,13,Average
76.0,66.41333333333334,35.333333333333336,62.4,13.1,112,69.3,11,At Risk
81.4,51.365,51.0,27.8,10.0,32,66.0,13,Average
79.6,62.63166666666666,50.333333333333336,58.4,24.5,180,85.5,9,Average
73.1,65.83166666666666,41.0,20.2,14.4,26,63.2,10,At Risk
78.0,50.17666666666667,47.66666666666666,60.0,16.2,21,84.6,9,At Risk
77.0,48.79333333333333,62.333333333333336,48.4,6.2,70,78.6,7,Average
